"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"BIRLASOFT LIMITED","277111675","114028090","    41.15","163083585","0","     0.00","     0.00","23-Nov-2020 11:30:17","6654980","276276972","2.41"
"BLB Limited","52865258","36443003","    68.94","16422255","0","     0.00","     0.00","23-Nov-2020 11:30:18","107137","52534179","0.2"
"BS Limited","441683580","227502303","    51.51","214181277","124506403","    54.73","    28.19","23-Nov-2020 11:30:28","127208240","441661326","28.8"
"BSEL Infrastructure Realty Limited","82616840","19653889","    23.79","62962951","0","     0.00","     0.00","23-Nov-2020 11:30:18","2170570","82521477","2.63"
"BSL Limited","10292168","5809072","    56.44","4483096","0","     0.00","     0.00","23-Nov-2020 11:30:10","148175","9846161","1.5"
"Bafna Pharmaceuticals Limited","23656335","21915205","    92.64","1741130","318254","     1.45","     1.35","23-Nov-2020 11:30:32","456930","23648295","1.93"
"Bajaj Auto Limited","289367020","155374904","    53.69","133992116","13822","     0.01","     0.00","23-Nov-2020 11:30:26","2177904","272307481","0.8"
"Bajaj Consumer Care Limited","147540159","56125000","    38.04","91415159","0","     0.00","     0.00","23-Nov-2020 11:30:27","2598901","147537683","1.76"
"Bajaj Electricals Limited","113862614","71870858","    63.12","41991756","0","     0.00","     0.00","23-Nov-2020 11:30:25","371099","112237654","0.33"
"Bajaj Finance Limited","602587339","340083519","    56.44","262503820",,,,"23-Nov-2020 11:30:14","5702113","601732219","0.95"
"Bajaj Finserv Limited","159137444","97056868","    60.99","62080576","10036","     0.01","     0.01","23-Nov-2020 11:30:26","1401047","149811386","0.94"
"Bajaj Hindusthan Sugar Limited","1133559942","176723422","    15.59","956836520","174943422","    98.99","    15.43","23-Nov-2020 11:30:09","202337887","1132714385","17.86"
"Bajaj Holdings & Investment Limited","111293510","55577458","    49.94","55716052","0","     0.00","     0.00","23-Nov-2020 11:30:07","1390124","102563017","1.36"
"Bal Pharma Limited","14172372","6016482","    42.45","8155890","0","     0.00","     0.00","23-Nov-2020 11:30:22","133962","13937014","0.96"
"Balaji Amines Limited","32401000","17398540","    53.70","15002460","0","     0.00","     0.00","23-Nov-2020 11:30:24","722871","32039410","2.26"
"Balaji Telefilms Limited","101130443","34732876","    34.34","66397567",,,,"23-Nov-2020 11:30:18","3348265","101125905","3.31"
"Balkrishna Industries Limited","193317190","112696020","    58.30","80621170","0","     0.00","     0.00","23-Nov-2020 11:30:09","969064","192481167","0.5"
"Ballarpur Industries Limited","1293455756","34614158","     2.68","1258841598","33292510","    96.18","     2.57","23-Nov-2020 11:30:26","49815751","1285535141","3.88"
"Balmer Lawrie & Company Limited","171003846","0","     0.00","171003846","0",,"     0.00","23-Nov-2020 11:30:08","4016450","168645808","2.38"
"Balrampur Chini Mills Limited","210000000","86545753","    41.21","123454247","0","     0.00","     0.00","23-Nov-2020 11:30:09","6963982","209175281","3.33"
"Banaras Beads Limited","6636222","3835592","    57.80","2800630",,,,"23-Nov-2020 11:30:13","22793","6362567","0.36"
"Banco Products (I) Limited","71518650","48549992","    67.88","22968658",,,,"23-Nov-2020 11:30:12","1065105","70666530","1.51"
"Bang Overseas Limited","13560000","9896384","    72.98","3663616","0","     0.00","     0.00","23-Nov-2020 11:30:25","153366","13438135","1.14"
"Bank Of Baroda","4620566586","3308184689","    71.60","1312381897","0","     0.00","     0.00","23-Nov-2020 11:30:16","50699999","4584301066","1.11"
"Bank Of India","3276923350","2919690866","    89.10","357232484","0","     0.00","     0.00","23-Nov-2020 11:30:16","11239982","3263203636","0.34"
"Bank of Maharashtra","6560158901","6122627927","    93.33","437530974","0","     0.00","     0.00","23-Nov-2020 11:30:19","13830713","6553288142","0.21"
"Bannari Amman Spinning Mills Limited","15754269","8751250","    55.55","7003019","0","     0.00","     0.00","23-Nov-2020 11:30:21","114577","15753411","0.73"
"Bannari Amman Sugars Limited","12539700","7360276","    58.70","5179424","0","     0.00","     0.00","23-Nov-2020 11:30:10","555343","12265750","4.53"
"Banswara Syntex Limited","17116042","10076001","    58.87","7040041","0","     0.00","     0.00","23-Nov-2020 11:30:24","242191","16844662","1.44"
"Barak Valley Cements Limited","22160000","12517127","    56.49","9642873","0","     0.00","     0.00","23-Nov-2020 11:30:25","72754","21487994","0.34"
"Bartronics India Limited","34048861","3591187","    10.55","30457674","15000","     0.42","     0.04","23-Nov-2020 11:30:21","789219","34048649","2.32"
"Bata India Limited","128527540","68065514","    52.96","60462026","0","     0.00","     0.00","23-Nov-2020 11:30:08","1037131","127504791","0.81"
"Beardsell Limited","28099008","18047202","    64.23","10051806","0","     0.00","     0.00","23-Nov-2020 11:30:27","65752","25636508","0.26"
"Bedmutha Industries Limited","24531611","17496105","    71.32","7035506","7150749","    40.87","    29.15","23-Nov-2020 11:30:28","7638419","24515608","31.16"
"Berger Paints (I) Limited","971219780","728319701","    74.99","242900079","0","     0.00","     0.00","23-Nov-2020 11:30:10","2782471","963644810","0.29"
"Bhansali Engineering Polymers Limited","165905640","93652000","    56.45","72253640","0","     0.00","     0.00","23-Nov-2020 11:30:13","7269409","162333115","4.48"
"Bharat Bijlee Limited","5651560","1890459","    33.45","3761101","0","     0.00","     0.00","23-Nov-2020 11:30:11","721793","5593902","12.9"
