,SYMBOL,COMPANY,REGULATION,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,TYPE OF SECURITY (PRIOR),NO. OF SECURITY (PRIOR),% SHAREHOLDING (PRIOR),TYPE OF SECURITY (ACQUIRED/DISPLOSED),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),% POST,DATE OF ALLOTMENT/ACQUISITION FROM,DATE OF ALLOTMENT/ACQUISITION TO,DATE OF INITMATION TO COMPANY,MODE OF ACQUISITION,DERIVATIVE TYPE SECURITY,DERIVATIVE CONTRACT SPECIFICATION,NOTIONAL VALUE(BUY),NUMBER OF UNITS/CONTRACT LOT SIZE (BUY),NOTIONAL VALUE(SELL),NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL),EXCHANGE,REMARK,BROADCASTE DATE AND TIME,XBRL
3718,HDFC,Housing Development Finance Corporation Limited,7(2),SANKET SUHAS KOLHATKAR,Employees/Designated Employees,Equity Shares,6850,0.0,,250,432450,Sell,Equity Shares,6600,0.0,30-Sep-2020,30-Sep-2020,01-Oct-2020,Market Sale,-,-,0,0,0,0,NSE,-,05-Oct-2020 18:48,https://archives.nseindia.com/corporate/xbrl/IT_1081570_326824_05102020064814_WEB.xml
3719,HDFC,Housing Development Finance Corporation Limited,7(2),SANKET SUHAS KOLHATKAR,Employees/Designated Employees,Equity Shares,6850,0.0,,250,432450,Pledge Revoke,Equity Shares,6850,0.0,30-Sep-2020,30-Sep-2020,01-Oct-2020,Revokation of Pledge,-,-,0,0,0,0,,-,05-Oct-2020 18:48,https://archives.nseindia.com/corporate/xbrl/IT_1081570_326824_05102020064814_WEB.xml
3720,HDFC,Housing Development Finance Corporation Limited,7(2),SANKET SUHAS KOLHATKAR,Employees/Designated Employees,Equity Shares,7000,0.0,,150,256800,Sell,Equity Shares,6850,0.0,29-Sep-2020,29-Sep-2020,01-Oct-2020,Market Sale,-,-,0,0,0,0,NSE,-,05-Oct-2020 18:48,https://archives.nseindia.com/corporate/xbrl/IT_1081570_326824_05102020064814_WEB.xml
3721,HDFC,Housing Development Finance Corporation Limited,7(2),SANKET SUHAS KOLHATKAR,Employees/Designated Employees,Equity Shares,7000,0.0,,150,256800,Pledge Revoke,Equity Shares,7000,0.0,29-Sep-2020,29-Sep-2020,01-Oct-2020,Revokation of Pledge,-,-,0,0,0,0,,-,05-Oct-2020 18:48,https://archives.nseindia.com/corporate/xbrl/IT_1081570_326824_05102020064814_WEB.xml
3722,HDFC,Housing Development Finance Corporation Limited,7(2),SANKARANARAYAN R,Employees/Designated Employees,Equity Shares,147000,0.01,,4000,6953600,Sell,Equity Shares,143000,0.01,30-Sep-2020,30-Sep-2020,01-Oct-2020,Market Sale,-,-,0,0,0,0,NSE,-,05-Oct-2020 18:48,https://archives.nseindia.com/corporate/xbrl/IT_1081570_326824_05102020064814_WEB.xml
3723,ASIANTILES,Asian Granito India Limited,7(2),Ramanbhai Nathabhai Patel,Immediate relative,Equity Shares,363480,1.18,,40452,12014646,Sell,Equity Shares,323028,1.05,29-Sep-2020,29-Sep-2020,30-Sep-2020,Market Sale,-,-,0,0,0,0,BSE,-,05-Oct-2020 18:39,https://archives.nseindia.com/corporate/xbrl/IT_1081566_326816_05102020063937_WEB.xml
3724,BIOCON,Biocon Limited,7(2),VEENA VASANTH,Employees/Designated Employees,Equity Shares,82536,0.0,,4500,2063500,Sell,Equity Shares,78036,0.0,29-Sep-2020,30-Sep-2020,02-Oct-2020,Market Sale,-,-,0,0,0,0,NSE,-,05-Oct-2020 18:24,https://archives.nseindia.com/corporate/xbrl/IT_1081564_326808_05102020062441_WEB.xml
3725,THYROCARE,Thyrocare Technologies Limited,7(2),A. Velumani HUF,Promoter Group,Equity Shares,1464009,2.77,,26200,19781000,Buy,Equity Shares,1490209,2.82,29-Sep-2020,29-Sep-2020,01-Oct-2020,Market Purchase,-,-,0,0,0,0,NSE,-,05-Oct-2020 18:21,https://archives.nseindia.com/corporate/xbrl/IT_1081562_326805_05102020062105_WEB.xml
3726,THYROCARE,Thyrocare Technologies Limited,7(2),Dr. A. Velumani,Promoters,Equity Shares,14817297,28.04,,378,285390,Buy,Equity Shares,14817675,28.04,30-Sep-2020,30-Sep-2020,01-Oct-2020,Market Purchase,-,-,0,0,0,0,NSE,-,05-Oct-2020 18:21,https://archives.nseindia.com/corporate/xbrl/IT_1081562_326805_05102020062105_WEB.xml
3727,EMAMILTD,Emami Limited,7(2),BHANU VYAPAAR PRIVATE LIMITED,Promoter Group,Equity Shares,43765902,9.85,,1000000,351300000,Pledge Revoke,Equity Shares,43765902,9.85,30-Sep-2020,30-Sep-2020,30-Sep-2020,Revokation of Pledge,-,-,0,0,0,0,,-,05-Oct-2020 18:11,https://archives.nseindia.com/corporate/xbrl/IT_1081560_326797_05102020061131_WEB.xml
