,SYMBOL,COMPANY,REGULATION,NAME OF THE ACQUIRER/DISPOSER,CATEGORY OF PERSON,TYPE OF SECURITY (PRIOR),NO. OF SECURITY (PRIOR),% SHAREHOLDING (PRIOR),TYPE OF SECURITY (ACQUIRED/DISPLOSED),NO. OF SECURITIES (ACQUIRED/DISPLOSED),VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TYPE OF SECURITY (POST),NO. OF SECURITY (POST),% POST,DATE OF ALLOTMENT/ACQUISITION FROM,DATE OF ALLOTMENT/ACQUISITION TO,DATE OF INITMATION TO COMPANY,MODE OF ACQUISITION,DERIVATIVE TYPE SECURITY,DERIVATIVE CONTRACT SPECIFICATION,NOTIONAL VALUE(BUY),NUMBER OF UNITS/CONTRACT LOT SIZE (BUY),NOTIONAL VALUE(SELL),NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL),EXCHANGE,REMARK,BROADCASTE DATE AND TIME,XBRL
68,VIKASMCORP,Vikas Multicorp Limited,7(2),NAND KISHORE GARG,Promoter Group,Equity Shares,30865014,4.65,,725929,7389957,Sell,Equity Shares,30139085,4.54,18-Nov-2020,18-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,BSE,-,21-Nov-2020 15:48,https://archives.nseindia.com/corporate/xbrl/IT_1084035_365453_21112020034858_WEB.xml
69,VIKASMCORP,Vikas Multicorp Limited,7(2),NAND KISHORE GARG,Promoter Group,Equity Shares,30139085,4.54,,275000,2802250,Sell,Equity Shares,29864085,4.5,18-Nov-2020,18-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,BSE,-,21-Nov-2020 15:48,https://archives.nseindia.com/corporate/xbrl/IT_1084035_365453_21112020034858_WEB.xml
70,VIKASMCORP,Vikas Multicorp Limited,7(2),NAND KISHORE GARG,Promoter Group,Equity Shares,29864085,4.5,,100000,1015000,Sell,Equity Shares,29764085,4.48,18-Nov-2020,18-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 15:48,https://archives.nseindia.com/corporate/xbrl/IT_1084035_365453_21112020034858_WEB.xml
71,VIKASMCORP,Vikas Multicorp Limited,7(2),NAND KISHORE GARG,Promoter Group,Equity Shares,29764085,4.48,,225000,2391750,Sell,Equity Shares,29539085,4.45,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 15:48,https://archives.nseindia.com/corporate/xbrl/IT_1084035_365453_21112020034858_WEB.xml
72,VIKASMCORP,Vikas Multicorp Limited,7(2),NAND KISHORE GARG,Promoter Group,Equity Shares,29039085,4.38,,500000,5350000,Sell,Equity Shares,28539085,4.3,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,BSE,-,21-Nov-2020 15:48,https://archives.nseindia.com/corporate/xbrl/IT_1084035_365453_21112020034858_WEB.xml
73,VIKASMCORP,Vikas Multicorp Limited,7(2),NAND KISHORE GARG,Promoter Group,Equity Shares,30965014,4.67,,100000,1005000,Sell,Equity Shares,30865014,4.65,18-Nov-2020,18-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 15:48,https://archives.nseindia.com/corporate/xbrl/IT_1084035_365453_21112020034858_WEB.xml
74,VIKASMCORP,Vikas Multicorp Limited,7(2),NAND KISHORE GARG,Promoter Group,Equity Shares,31965014,4.82,,1000000,10100000,Sell,Equity Shares,30965014,4.67,18-Nov-2020,18-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,BSE,-,21-Nov-2020 15:48,https://archives.nseindia.com/corporate/xbrl/IT_1084035_365453_21112020034858_WEB.xml
75,VIKASMCORP,Vikas Multicorp Limited,7(2),NAND KISHORE GARG,Promoter Group,Equity Shares,29539085,4.45,,500000,5350000,Sell,Equity Shares,29039085,4.38,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 15:48,https://archives.nseindia.com/corporate/xbrl/IT_1084035_365453_21112020034858_WEB.xml
76,VIKASMCORP,Vikas Multicorp Limited,7(2),SEEMA GARG,Promoter Group,Equity Shares,31871199,4.8,,1738206,18320691,Sell,Equity Shares,30132993,4.54,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 15:48,https://archives.nseindia.com/corporate/xbrl/IT_1084035_365453_21112020034858_WEB.xml
77,VIKASMCORP,Vikas Multicorp Limited,7(2),SEEMA GARG,Promoter Group,Equity Shares,33371199,5.02,,1500000,15825000,Sell,Equity Shares,31871199,4.8,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,BSE,-,21-Nov-2020 15:48,https://archives.nseindia.com/corporate/xbrl/IT_1084035_365453_21112020034858_WEB.xml
78,GULFOILLUB,Gulf Oil Lubricants India Limited,7(2),Nilesh Garg,Employees/Designated Employees,Equity Shares,11000,0.02,,4485,3521023,Sell,Equity Shares,6515,0.01,18-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 15:29,https://archives.nseindia.com/corporate/xbrl/IT_1084032_365450_21112020032916_WEB.xml
79,LGBFORGE,LGB Forge Limited,7(2),VIJAYSHREE VIJAYKUMAR,Promoters,Equity Shares,1280387,0.54,,42192,107598,Sell,Equity Shares,1238195,0.52,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 15:28,https://archives.nseindia.com/corporate/xbrl/IT_1084031_365448_21112020032803_WEB.xml
80,TRIDENT,Trident Limited,7(2),Trident Group Limited,Promoter Group,Equity Shares,2271169835,44.57,,60000000,474685079,Buy,Equity Shares,2331169835,45.74,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 15:11,https://archives.nseindia.com/corporate/xbrl/IT_1084026_365442_21112020031121_WEB.xml
81,HEROMOTOCO,Hero MotoCorp Limited,7(2),Rajat Bhargava,Employees/Designated Employees,Equity Shares,6450,0.0,,1422,4387628,Sell,Equity Shares,5028,0.0,19-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 14:59,https://archives.nseindia.com/corporate/xbrl/IT_1084024_365438_21112020025914_WEB.xml
82,EMAMILTD,Emami Limited,7(2),DIWAKAR VINIYOG PRIVATE LIMITED,Promoter Group,Equity Shares,49533849,11.14,,3800,1448560,Pledge Revoke,Equity Shares,49533849,11.14,19-Nov-2020,19-Nov-2020,20-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,21-Nov-2020 13:41,https://archives.nseindia.com/corporate/xbrl/IT_1084022_365435_21112020014116_WEB.xml
83,FILATEX,Filatex India Limited,7(2),AZIMUTH INVESTMENTS LIMITED,Promoter Group,Equity Shares,16922150,7.67,,426932,11944682,Buy,Equity Shares,17349082,7.86,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 13:32,https://archives.nseindia.com/corporate/xbrl/IT_1084020_365432_21112020013212_WEB.xml
84,FILATEX,Filatex India Limited,7(2),Nouvelle Securities Pvt. Ltd.,Promoter Group,Equity Shares,10968450,4.97,,450000,12685743,Buy,Equity Shares,11418450,5.17,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 13:32,https://archives.nseindia.com/corporate/xbrl/IT_1084020_365432_21112020013212_WEB.xml
85,BRITANNIA,Britannia Industries Limited,7(2),Varun Berry,Director,Equity Shares,124666,0.05,,55000,195606706,Sell,Equity Shares,69666,0.03,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 13:24,https://archives.nseindia.com/corporate/xbrl/IT_1084018_365426_21112020012445_WEB.xml
86,JKCEMENT,JK Cement Limited,7(2),KAVITA YADUPATI SINGHANIA,Promoter Group,Equity Shares,Nil,0.0,,12064198,0,Buy,Equity Shares,12064198,15.61,22-Oct-2020,22-Oct-2020,20-Nov-2020,Inter-se-Transfer,-,-,0,0,0,0,,-,21-Nov-2020 13:13,https://archives.nseindia.com/corporate/xbrl/IT_1084016_365423_21112020011342_WEB.xml
87,JKCEMENT,JK Cement Limited,7(2),KAVITA YADUPATI SINGHANIA,Promoter Group,Equity Shares,Nil,0.0,,31034518,0,Buy,Equity Shares,31034518,40.17,06-Oct-2020,06-Oct-2020,20-Nov-2020,Inter-se-Transfer,-,-,0,0,0,0,,-,21-Nov-2020 13:13,https://archives.nseindia.com/corporate/xbrl/IT_1084016_365423_21112020011342_WEB.xml
88,VTL,Vardhman Textiles Limited,7(2),Vardhman Holdings Limited,Promoters,Equity Shares,15421570,26.81,,1000,849990,Buy,Equity Shares,15422570,26.81,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 12:49,https://archives.nseindia.com/corporate/xbrl/IT_1084014_365420_21112020124933_WEB.xml
89,JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,12693373,0.53,,8100,2770135,Sell,Equity Shares,12685273,0.52,18-Nov-2020,18-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 12:37,https://archives.nseindia.com/corporate/xbrl/IT_1084012_365417_21112020123703_WEB.xml
90,JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,12678723,0.52,,717,241021,Sell,Equity Shares,12678006,0.52,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 12:37,https://archives.nseindia.com/corporate/xbrl/IT_1084012_365417_21112020123703_WEB.xml
91,JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,12685273,0.52,,6550,2165904,Sell,Equity Shares,12678723,0.52,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 12:37,https://archives.nseindia.com/corporate/xbrl/IT_1084012_365417_21112020123703_WEB.xml
92,VSSL,Vardhman Special Steels Limited,7(2),VARDHMAN HOLDINGS LIMITED,Promoters,Equity Shares,5134195,12.71,,3738,332645,Buy,Equity Shares,5137933,12.72,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 12:24,https://archives.nseindia.com/corporate/xbrl/IT_1084010_365410_21112020122452_WEB.xml
93,VSSL,Vardhman Special Steels Limited,7(2),SACHIT JAIN,Promoters,Equity Shares,5049718,12.5,,1000,88480,Buy,Equity Shares,5050718,12.5,20-Nov-2020,20-Nov-2020,21-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 12:24,https://archives.nseindia.com/corporate/xbrl/IT_1084010_365410_21112020122452_WEB.xml
94,TOKYOPLAST,Tokyo Plast International Limited,7(2),DHARMIL HARESH SHAH,Promoters,Equity Shares,2537925,26.71,,18064,1197227,Buy,Equity Shares,2555989,26.9,19-Nov-2020,20-Nov-2020,21-Nov-2020,Market Purchase,-,-,0,0,0,0,"BSE,NSE",-,21-Nov-2020 12:17,https://archives.nseindia.com/corporate/xbrl/IT_1084008_365407_21112020121730_WEB.xml
95,TOKYOPLAST,Tokyo Plast International Limited,7(2),PRITI HARESH SHAH,Promoters,Equity Shares,529665,5.57,,17500,1157911,Buy,Equity Shares,547165,5.75,19-Nov-2020,20-Nov-2020,21-Nov-2020,Market Purchase,-,-,0,0,0,0,"BSE,NSE",-,21-Nov-2020 12:17,https://archives.nseindia.com/corporate/xbrl/IT_1084008_365407_21112020121730_WEB.xml
96,GLOBAL,Global Education Limited,7(2),RISHABH SURANA,Promoters,Equity Shares,36000,1.45,,111600,0,Buy,Equity Shares,147600,1.45,17-Nov-2020,20-Nov-2020,21-Nov-2020,Bonus,-,-,0,0,0,0,,-,21-Nov-2020 11:38,https://archives.nseindia.com/corporate/xbrl/IT_1084006_365403_21112020113804_WEB.xml
97,GLOBAL,Global Education Limited,7(2),Clear Impex Pvt Ltd,Promoter Group,Equity Shares,863928,34.79,,2678176,0,Buy,Equity Shares,3542104,34.79,17-Nov-2020,19-Nov-2020,21-Nov-2020,Bonus,-,-,0,0,0,0,,-,21-Nov-2020 11:38,https://archives.nseindia.com/corporate/xbrl/IT_1084006_365403_21112020113804_WEB.xml
98,GLOBAL,Global Education Limited,7(2),Aditya Bhandari,Key Managerial Personnel,Equity Shares,18,0.0,,55,0,Buy,Equity Shares,73,0.0,17-Nov-2020,19-Nov-2020,21-Nov-2020,Bonus,-,-,0,0,0,0,,-,21-Nov-2020 11:38,https://archives.nseindia.com/corporate/xbrl/IT_1084006_365403_21112020113804_WEB.xml
99,GLOBAL,Global Education Limited,7(2),Mighty Overseas Pvt Ltd,Promoters,Equity Shares,900000,36.25,,2790000,0,Buy,Equity Shares,3690000,36.25,17-Nov-2020,19-Nov-2020,21-Nov-2020,Bonus,-,-,0,0,0,0,,-,21-Nov-2020 11:38,https://archives.nseindia.com/corporate/xbrl/IT_1084006_365403_21112020113804_WEB.xml
100,ALLCARGO,Allcargo Logistics Limited,7(2),Rashi Sethia,Immediate relative,Equity Shares,8000,0.0,,8000,1018322,Sell,Equity Shares,Nil,0.0,18-Nov-2020,18-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 11:28,https://archives.nseindia.com/corporate/xbrl/IT_1084003_365400_21112020112836_WEB.xml
101,PLASTIBLEN,Plastiblends India Limited,7(2),SATYANARAYAN GOPILAL KABRA,Promoters,Equity Shares,3216541,12.38,,6729,1386862,Buy,Equity Shares,3223270,12.4,11-Nov-2020,18-Nov-2020,20-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,21-Nov-2020 10:51,https://archives.nseindia.com/corporate/xbrl/IT_1084000_365382_21112020105124_WEB.xml
102,TCI,Transport Corporation of India Limited,7(2),S R Mohan Rao,Other,Equity Shares,2650,0.0,,2650,667625,Sell,Equity Shares,Nil,0.0,19-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,21-Nov-2020 10:42,https://archives.nseindia.com/corporate/xbrl/IT_1083999_365379_21112020104247_WEB.xml
103,INDOSTAR,IndoStar Capital Finance Limited,7(2),Deepak Bakliwal,Employees/Designated Employees,Equity Shares,2062,0.0,,2062,607963,Sell,Equity Shares,Nil,0.0,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,BSE,-,20-Nov-2020 23:15,https://archives.nseindia.com/corporate/xbrl/IT_1083995_365376_20112020111535_WEB.xml
104,INDOSTAR,IndoStar Capital Finance Limited,7(2),Deepak Bakliwal,Employees/Designated Employees,Equity Shares,15000,0.01,,12938,3814915,Sell,Equity Shares,2062,0.0,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 23:15,https://archives.nseindia.com/corporate/xbrl/IT_1083995_365376_20112020111535_WEB.xml
105,M&M,Mahindra & Mahindra Limited,7(2),Mr. Rajeev Dubey,Employees/Designated Employees,Equity Shares,69292,0.01,,7000,5075852,Sell,Equity Shares,62292,0.01,19-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:50,https://archives.nseindia.com/corporate/xbrl/IT_1083993_365373_20112020105051_WEB.xml
106,M&M,Mahindra & Mahindra Limited,7(2),Mr. Rajeev Dubey,Employees/Designated Employees,Equity Shares,62292,0.01,,10500,7426477,Sell,Equity Shares,51792,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:50,https://archives.nseindia.com/corporate/xbrl/IT_1083993_365373_20112020105051_WEB.xml
107,M&M,Mahindra & Mahindra Limited,7(2),Mr. Harish Chavan,Employees/Designated Employees,Equity Shares,34542,0.0,,2500,1773456,Sell,Equity Shares,32042,0.0,18-Nov-2020,18-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,BSE,-,20-Nov-2020 22:50,https://archives.nseindia.com/corporate/xbrl/IT_1083993_365373_20112020105051_WEB.xml
108,MAJESCO,Majesco Limited,7(2),VENKATESH N. CHAKRAVARTY,Director,Equity Shares,7850,0.03,,1125,1029905,Sell,Equity Shares,6725,0.02,18-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:49,https://archives.nseindia.com/corporate/xbrl/IT_1083991_365370_20112020104916_WEB.xml
109,MAJESCO,Majesco Limited,7(2),VENKATESH N. CHAKRAVARTY,Director,Equity Shares,8000,0.03,,150,136825,Sell,Equity Shares,7850,0.03,17-Nov-2020,17-Nov-2020,18-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:49,https://archives.nseindia.com/corporate/xbrl/IT_1083991_365370_20112020104916_WEB.xml
110,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Francis Sain Jobai,Employees/Designated Employees,Equity Shares,1750,0.0,,1350,1819463,Buy,Equity Shares,3100,0.0,19-Nov-2020,19-Nov-2020,19-Nov-2020,ESOP,-,-,0,0,0,0,,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
111,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anurag Chottani,Employees/Designated Employees,Equity Shares,19000,0.0,,1000,4735420,Sell,Equity Shares,18000,0.0,19-Nov-2020,19-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
112,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Francis Sain Jobai,Employees/Designated Employees,Equity Shares,5150,0.0,,5150,23506557,Pledge,Equity Shares,5150,0.0,19-Nov-2020,19-Nov-2020,19-Nov-2020,Pledge Creation,-,-,0,0,0,0,,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
113,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Francis Sain Jobai,Employees/Designated Employees,Equity Shares,3100,0.0,,2050,3935898,Buy,Equity Shares,5150,0.0,19-Nov-2020,19-Nov-2020,19-Nov-2020,ESOP,-,-,0,0,0,0,,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
114,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Francis Sain Jobai,Employees/Designated Employees,Equity Shares,Nil,0.0,,1750,1339398,Buy,Equity Shares,1750,0.0,19-Nov-2020,19-Nov-2020,19-Nov-2020,ESOP,-,-,0,0,0,0,,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
115,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Atul Jain,Employees/Designated Employees,Equity Shares,42100,0.0,,1000,4773000,Sell,Equity Shares,41100,0.0,19-Nov-2020,19-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
116,BAJFINANCE,Bajaj Finance Limited,7(2),Shri M M Muralidharan,Employees/Designated Employees,Equity Shares,198651,0.03,,3500,16607010,Sell,Equity Shares,195151,0.03,19-Nov-2020,19-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
117,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Rajib Bhowmick,Employees/Designated Employees,Equity Shares,33919,0.0,,1275,3828506,Buy,Equity Shares,35194,0.0,17-Nov-2020,17-Nov-2020,19-Nov-2020,ESOP,-,-,0,0,0,0,,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
118,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anand Soni,Employees/Designated Employees,Equity Shares,2411,0.0,,200,927550,Sell,Equity Shares,2211,0.0,18-Nov-2020,18-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
119,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anand Soni,Employees/Designated Employees,Equity Shares,2211,0.0,,200,950670,Sell,Equity Shares,2011,0.0,19-Nov-2020,19-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
120,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anand Soni,Employees/Designated Employees,Equity Shares,2811,0.0,,200,878200,Sell,Equity Shares,2611,0.0,11-Nov-2020,11-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
121,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anand Soni,Employees/Designated Employees,Equity Shares,2611,0.0,,200,891400,Sell,Equity Shares,2411,0.0,17-Nov-2020,17-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
122,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Bimal Rameshchandra Desai,Employees/Designated Employees,Equity Shares,30505,0.0,,500,2300000,Sell,Equity Shares,30005,0.0,18-Nov-2020,18-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
123,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Kurush Irani,Employees/Designated Employees,Equity Shares,18000,0.0,,2500,11454275,Sell,Equity Shares,15500,0.0,18-Nov-2020,18-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
124,BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anurag Chottani,Employees/Designated Employees,Equity Shares,23000,0.0,,4000,18564440,Sell,Equity Shares,19000,0.0,18-Nov-2020,18-Nov-2020,18-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 22:03,https://archives.nseindia.com/corporate/xbrl/IT_1083988_365367_20112020100325_WEB.xml
125,LAGNAM,Lagnam Spintex Limited,7(2),KAVITA MANGAL,Promoter Group,Equity Shares,245000,1.39,,3000,22500,Buy,Equity Shares,248000,1.41,13-Nov-2020,13-Nov-2020,18-Nov-2020,Market Purchase,-,-,0,0,0,0,NSE,-,20-Nov-2020 21:21,https://archives.nseindia.com/corporate/xbrl/IT_1083987_365362_20112020092100_WEB.xml
126,SITINET,Siti Networks Limited,7(2),DIGITAL SATELLITE HOLDINGS PRIVATE LIMITED,Promoters,Equity Shares,14493816,1.66,,14400000,9360000,Pledge Invoke,Equity Shares,93816,0.01,18-Nov-2020,18-Nov-2020,20-Nov-2020,Invocation of pledge,-,-,0,0,0,0,,-,20-Nov-2020 21:07,https://archives.nseindia.com/corporate/xbrl/IT_1083985_365359_20112020090750_WEB.xml
127,SITINET,Siti Networks Limited,7(2),Direct Media Solutions LLP (formerly known as Direct Media Solutions Private Limited),Promoters,Equity Shares,21199732,2.43,,756732,491876,Pledge Invoke,Equity Shares,20443000,2.34,18-Nov-2020,18-Nov-2020,20-Nov-2020,Invocation of pledge,-,-,0,0,0,0,,-,20-Nov-2020 21:07,https://archives.nseindia.com/corporate/xbrl/IT_1083985_365359_20112020090750_WEB.xml
128,SITINET,Siti Networks Limited,7(2),BIOSCOPE CINEMAS PRIVATE LIMITED,Promoters,Equity Shares,42237611,4.84,,42227000,27447550,Pledge Invoke,Equity Shares,10611,0.0,18-Nov-2020,18-Nov-2020,20-Nov-2020,Invocation of pledge,-,-,0,0,0,0,,-,20-Nov-2020 21:07,https://archives.nseindia.com/corporate/xbrl/IT_1083985_365359_20112020090750_WEB.xml
129,MINDAIND,Minda Industries Limited,7(2),ATUL SWAROOP,Employees/Designated Employees,Equity Shares,40445,0.01,,1000,369800,Sell,Equity Shares,39445,0.01,18-Nov-2020,18-Nov-2020,19-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 20:49,https://archives.nseindia.com/corporate/xbrl/IT_1083984_365356_20112020084948_WEB.xml
130,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,7(2),Veeralatha Mahendran,-,Equity Shares,29830,0.0,,29830,9615141,Sell,Equity Shares,Nil,0.0,17-Nov-2020,17-Nov-2020,18-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 20:36,https://archives.nseindia.com/corporate/xbrl/IT_1083982_365353_20112020083614_WEB.xml
131,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,7(2),Nishim T D,-,Equity Shares,16600,0.0,,4000,1360000,Sell,Equity Shares,12600,0.0,20-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 20:36,https://archives.nseindia.com/corporate/xbrl/IT_1083982_365353_20112020083614_WEB.xml
132,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,7(2),Charles Stanis,-,Equity Shares,4000,0.0,,4000,1305520,Sell,Equity Shares,Nil,0.0,17-Nov-2020,20-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 20:36,https://archives.nseindia.com/corporate/xbrl/IT_1083982_365353_20112020083614_WEB.xml
133,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,7(2),Babu V,-,Equity Shares,14000,0.0,,4600,1500000,Sell,Equity Shares,9400,0.0,18-Nov-2020,18-Nov-2020,18-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 20:36,https://archives.nseindia.com/corporate/xbrl/IT_1083982_365353_20112020083614_WEB.xml
134,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,7(2),Aman Sharma,-,Equity Shares,43805,0.01,,10000,3415000,Sell,Equity Shares,33805,0.01,18-Nov-2020,19-Nov-2020,20-Nov-2020,Market Sale,-,-,0,0,0,0,NSE,-,20-Nov-2020 20:36,https://archives.nseindia.com/corporate/xbrl/IT_1083982_365353_20112020083614_WEB.xml
135,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,7(2),Veeralatha Mahendran,-,Equity Shares,29830,0.0,,22250,7171620,Pledge Revoke,Equity Shares,29830,0.0,17-Nov-2020,17-Nov-2020,18-Nov-2020,Revokation of Pledge,-,-,0,0,0,0,,-,20-Nov-2020 20:36,https://archives.nseindia.com/corporate/xbrl/IT_1083982_365353_20112020083614_WEB.xml
